placement,Neon,Harbor,Breach,Cypher,Raze,Sova,KAY/O,Phoenix,Deadlock,Viper,Reyna,Jett,Brimstone,Killjoy,Omen,Astra,Fade,Chamber,Skye,Sage,Yoru,Gekko
radiant,0.007,0.005,0.015,0.06,0.091,0.086,0.017,0.022,0.002,0.041,0.092,0.16,0.024,0.072,0.101,0.025,0.023,0.051,0.078,0.008,0.014,0.005
immortal3,0.006,0.004,0.016,0.062,0.087,0.076,0.014,0.021,0.003,0.033,0.102,0.154,0.031,0.065,0.102,0.024,0.017,0.058,0.079,0.019,0.019,0.007
immortal2,0.007,0.005,0.019,0.064,0.083,0.07,0.015,0.023,0.003,0.032,0.1,0.147,0.035,0.06,0.104,0.025,0.016,0.06,0.08,0.026,0.018,0.008
immortal1,0.008,0.006,0.02,0.062,0.083,0.067,0.017,0.026,0.003,0.031,0.104,0.142,0.036,0.056,0.1,0.022,0.015,0.064,0.081,0.032,0.016,0.011
ascendant3,0.008,0.006,0.021,0.061,0.082,0.062,0.016,0.027,0.004,0.03,0.108,0.139,0.038,0.054,0.099,0.023,0.016,0.061,0.078,0.037,0.016,0.012
ascendant2,0.009,0.007,0.022,0.06,0.081,0.061,0.018,0.027,0.005,0.031,0.106,0.135,0.04,0.055,0.098,0.022,0.017,0.062,0.075,0.041,0.015,0.014
ascendant1,0.01,0.008,0.024,0.059,0.08,0.058,0.019,0.028,0.005,0.032,0.104,0.129,0.041,0.055,0.098,0.022,0.018,0.06,0.074,0.046,0.015,0.015
diamond3,0.01,0.008,0.025,0.058,0.079,0.055,0.02,0.03,0.006,0.031,0.106,0.12,0.043,0.055,0.098,0.021,0.018,0.059,0.075,0.051,0.015,0.017
diamond2,0.011,0.008,0.026,0.055,0.08,0.054,0.021,0.031,0.007,0.03,0.109,0.115,0.043,0.055,0.097,0.02,0.018,0.058,0.073,0.056,0.016,0.018
diamond1,0.012,0.008,0.026,0.053,0.078,0.052,0.021,0.032,0.007,0.031,0.109,0.112,0.044,0.055,0.097,0.02,0.019,0.057,0.071,0.061,0.016,0.02
platinum3,0.013,0.009,0.026,0.052,0.079,0.049,0.021,0.032,0.008,0.031,0.114,0.107,0.045,0.054,0.096,0.019,0.019,0.054,0.069,0.065,0.016,0.021
platinum2,0.014,0.009,0.026,0.051,0.079,0.047,0.021,0.034,0.009,0.031,0.115,0.103,0.046,0.054,0.095,0.018,0.02,0.053,0.068,0.068,0.016,0.022
platinum1,0.016,0.01,0.026,0.051,0.077,0.047,0.022,0.034,0.01,0.031,0.114,0.097,0.046,0.055,0.095,0.017,0.021,0.051,0.066,0.074,0.017,0.024
gold3,0.017,0.009,0.026,0.048,0.078,0.045,0.022,0.035,0.01,0.03,0.12,0.094,0.048,0.054,0.094,0.016,0.02,0.049,0.064,0.076,0.018,0.026
gold2,0.019,0.01,0.027,0.049,0.077,0.043,0.023,0.036,0.011,0.031,0.12,0.088,0.048,0.055,0.093,0.015,0.021,0.047,0.064,0.08,0.019,0.027
gold1,0.02,0.01,0.026,0.048,0.077,0.042,0.022,0.036,0.012,0.031,0.12,0.081,0.049,0.055,0.093,0.015,0.022,0.045,0.063,0.086,0.019,0.028
silver3,0.022,0.01,0.025,0.046,0.076,0.04,0.022,0.037,0.013,0.031,0.128,0.077,0.049,0.055,0.092,0.013,0.022,0.043,0.062,0.088,0.021,0.03
silver2,0.024,0.011,0.025,0.046,0.076,0.039,0.023,0.038,0.014,0.031,0.124,0.071,0.049,0.054,0.092,0.012,0.023,0.04,0.061,0.092,0.023,0.031
silver1,0.026,0.011,0.024,0.044,0.075,0.039,0.023,0.039,0.015,0.03,0.124,0.066,0.049,0.054,0.091,0.011,0.024,0.038,0.061,0.099,0.023,0.034
bronze3,0.029,0.011,0.023,0.043,0.075,0.037,0.024,0.04,0.016,0.03,0.124,0.06,0.048,0.052,0.091,0.01,0.025,0.037,0.061,0.101,0.026,0.036
bronze2,0.031,0.011,0.023,0.041,0.074,0.038,0.025,0.041,0.018,0.031,0.119,0.056,0.046,0.051,0.087,0.009,0.027,0.034,0.06,0.108,0.03,0.04
bronze1,0.034,0.011,0.021,0.04,0.075,0.038,0.025,0.042,0.019,0.031,0.113,0.05,0.043,0.05,0.087,0.008,0.029,0.032,0.06,0.114,0.034,0.043
iron3,0.039,0.011,0.018,0.036,0.075,0.039,0.027,0.048,0.019,0.03,0.113,0.048,0.04,0.044,0.083,0.006,0.033,0.029,0.056,0.118,0.042,0.046
iron2,0.042,0.01,0.016,0.032,0.08,0.039,0.026,0.05,0.019,0.029,0.114,0.05,0.036,0.04,0.079,0.006,0.033,0.027,0.054,0.121,0.048,0.048
iron1,0.045,0.01,0.014,0.028,0.084,0.039,0.027,0.052,0.019,0.027,0.115,0.054,0.033,0.039,0.076,0.006,0.031,0.027,0.049,0.119,0.058,0.047
