placement,Sage,Phoenix,Clove,Iso,Deadlock,Neon,Yoru,Viper,Killjoy,Fade,Jett,Reyna,Cypher,Sova,Raze,Gekko,Skye,Chamber,Brimstone,Omen
radiant,0.003,0.007,0.113,0.062,0.021,0.038,0.011,0.024,0.064,0.016,0.165,0.089,0.08,0.106,0.062,0.038,0.015,0.012,0.008,0.047
immortal3,0.005,0.012,0.12,0.045,0.024,0.028,0.014,0.023,0.061,0.015,0.155,0.095,0.086,0.102,0.052,0.043,0.017,0.018,0.008,0.0
immortal2,0.007,0.013,0.118,0.041,0.021,0.027,0.014,0.021,0.058,0.014,0.159,0.099,0.085,0.097,0.052,0.045,0.018,0.022,0.009,0.0
immortal1,0.01,0.015,0.113,0.037,0.019,0.026,0.0,0.02,0.053,0.014,0.157,0.099,0.086,0.091,0.053,0.048,0.019,0.029,0.011,0.0
ascendant3,0.012,0.016,0.109,0.033,0.018,0.025,0.013,0.019,0.051,0.014,0.152,0.098,0.087,0.09,0.053,0.05,0.02,0.032,0.012,0.0
ascendant2,0.015,0.017,0.104,0.032,0.018,0.024,0.013,0.019,0.049,0.015,0.147,0.097,0.086,0.086,0.053,0.053,0.02,0.036,0.013,0.0
ascendant1,0.019,0.018,0.101,0.031,0.017,0.024,0.013,0.018,0.048,0.015,0.141,0.097,0.085,0.082,0.052,0.055,0.021,0.039,0.014,0.0
diamond3,0.023,0.019,0.099,0.03,0.017,0.023,0.013,0.017,0.047,0.015,0.135,0.097,0.084,0.078,0.051,0.058,0.022,0.042,0.015,0.0
diamond2,0.027,0.021,0.097,0.03,0.017,0.024,0.013,0.017,0.046,0.016,0.13,0.098,0.082,0.073,0.051,0.059,0.022,0.044,0.016,0.0
diamond1,0.032,0.022,0.096,0.03,0.017,0.024,0.0,0.016,0.046,0.016,0.125,0.099,0.08,0.069,0.05,0.06,0.023,0.045,0.017,0.0
platinum3,0.036,0.023,0.095,0.031,0.017,0.025,0.0,0.015,0.044,0.016,0.121,0.102,0.077,0.065,0.05,0.059,0.023,0.045,0.018,0.0
platinum2,0.04,0.024,0.094,0.031,0.017,0.026,0.0,0.015,0.044,0.017,0.117,0.103,0.075,0.062,0.05,0.059,0.023,0.046,0.018,0.0
platinum1,0.044,0.025,0.093,0.032,0.017,0.027,0.0,0.014,0.043,0.017,0.111,0.104,0.074,0.059,0.049,0.06,0.024,0.046,0.019,0.0
gold3,0.048,0.026,0.092,0.033,0.017,0.028,0.0,0.014,0.043,0.017,0.107,0.108,0.072,0.055,0.049,0.059,0.024,0.045,0.02,0.0
gold2,0.053,0.027,0.09,0.033,0.018,0.029,0.0,0.014,0.043,0.017,0.101,0.107,0.072,0.053,0.048,0.059,0.024,0.045,0.022,0.0
gold1,0.058,0.028,0.089,0.034,0.018,0.03,0.0,0.014,0.043,0.018,0.095,0.108,0.071,0.051,0.047,0.06,0.025,0.043,0.023,0.0
silver3,0.062,0.029,0.087,0.035,0.018,0.032,0.0,0.013,0.042,0.018,0.091,0.113,0.069,0.047,0.047,0.059,0.025,0.041,0.024,0.0
silver2,0.068,0.029,0.086,0.036,0.018,0.033,0.0,0.013,0.042,0.019,0.083,0.111,0.069,0.045,0.046,0.06,0.026,0.04,0.025,0.0
silver1,0.074,0.03,0.084,0.036,0.018,0.034,0.0,0.014,0.042,0.02,0.076,0.11,0.068,0.044,0.045,0.062,0.028,0.038,0.027,0.0
bronze3,0.079,0.031,0.083,0.037,0.019,0.036,0.0,0.014,0.042,0.021,0.068,0.11,0.068,0.042,0.044,0.064,0.028,0.035,0.028,0.07
bronze2,0.087,0.033,0.078,0.037,0.019,0.038,0.0,0.014,0.041,0.023,0.061,0.106,0.065,0.041,0.043,0.066,0.03,0.033,0.028,0.07
bronze1,0.096,0.034,0.075,0.036,0.02,0.042,0.0,0.015,0.039,0.025,0.054,0.102,0.063,0.04,0.042,0.07,0.03,0.031,0.028,0.069
iron3,0.105,0.037,0.068,0.037,0.02,0.045,0.0,0.0,0.035,0.028,0.05,0.1,0.057,0.04,0.043,0.072,0.031,0.027,0.028,0.067
iron2,0.113,0.04,0.062,0.036,0.021,0.05,0.0,0.017,0.031,0.031,0.05,0.098,0.05,0.04,0.046,0.073,0.03,0.024,0.027,0.065
iron1,0.117,0.043,0.056,0.036,0.021,0.055,0.0,0.019,0.029,0.032,0.054,0.098,0.043,0.041,0.048,0.07,0.027,0.022,0.027,0.061
unrated,0.078,0.037,0.065,0.039,0.013,0.032,0.0,0.013,0.037,0.02,0.091,0.121,0.057,0.052,0.045,0.058,0.03,0.036,0.027,0.0
